epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,465.331,1.04726,0.70691,1.03716,0.76085,0.65455,0.72197,0.42802,1.34133,1.01517,1.22649,0.00100208,0.00100208,0.00100208
128,468.92,1.0446,0.69658,1.04833,0.72001,0.66061,0.71352,0.42068,1.3546,0.97724,1.23186,0.00099416,0.00099416,0.00099416
129,472.592,1.01807,0.68168,1.02527,0.85439,0.58677,0.74461,0.44356,1.31759,0.95024,1.23648,0.00098624,0.00098624,0.00098624
130,476.217,1.0481,0.68831,1.02571,0.77563,0.64848,0.72289,0.42541,1.37718,0.97057,1.29128,0.00097832,0.00097832,0.00097832
131,479.796,1.03717,0.6837,1.0314,0.8088,0.64091,0.72845,0.42548,1.37156,0.95822,1.25418,0.0009704,0.0009704,0.0009704
132,483.433,1.0408,0.68341,1.02537,0.8439,0.63891,0.72852,0.41715,1.38917,0.979,1.26479,0.00096248,0.00096248,0.00096248
133,486.98,1.0482,0.68446,1.04355,0.79158,0.61515,0.70344,0.40802,1.44048,0.96792,1.30943,0.00095456,0.00095456,0.00095456
134,490.593,1.0259,0.67907,1.04251,0.74196,0.67964,0.72425,0.43861,1.36808,0.97491,1.23525,0.00094664,0.00094664,0.00094664
135,494.257,1.00587,0.66427,1.01262,0.77002,0.61515,0.70455,0.42003,1.39641,0.98338,1.26436,0.00093872,0.00093872,0.00093872
136,497.857,1.01827,0.6823,1.0191,0.76172,0.68485,0.72146,0.41665,1.42016,0.94264,1.28545,0.0009308,0.0009308,0.0009308
137,501.373,1.03817,0.67508,1.03173,0.76948,0.66061,0.73324,0.43012,1.40763,0.91596,1.29691,0.00092288,0.00092288,0.00092288
138,505.168,1.00972,0.66808,1.0241,0.79209,0.66961,0.74507,0.44292,1.38972,0.91111,1.29006,0.00091496,0.00091496,0.00091496
139,508.756,0.99469,0.65067,1.02561,0.72106,0.65152,0.6998,0.40749,1.43686,1.02462,1.28608,0.00090704,0.00090704,0.00090704
140,512.286,0.98477,0.65524,1.00338,0.79371,0.62958,0.71969,0.41877,1.40452,0.99075,1.26958,0.00089912,0.00089912,0.00089912
141,515.89,1.02339,0.666,1.03149,0.74791,0.63831,0.71019,0.42011,1.41343,1.00479,1.27503,0.0008912,0.0008912,0.0008912
142,519.434,1.00218,0.65513,1.01794,0.77334,0.62424,0.70649,0.43385,1.35362,0.99699,1.23798,0.00088328,0.00088328,0.00088328
143,523.072,1.01673,0.68271,1.01839,0.74073,0.61468,0.69531,0.41567,1.36146,1.06004,1.21742,0.00087536,0.00087536,0.00087536
144,526.648,0.98701,0.65333,1.01686,0.75763,0.64848,0.71069,0.4223,1.38702,0.98481,1.25314,0.00086744,0.00086744,0.00086744
145,530.216,1.06903,0.70567,1.05168,0.77952,0.6303,0.72431,0.43212,1.38778,0.94991,1.23439,0.00085952,0.00085952,0.00085952
146,533.928,1.00777,0.68155,1.02153,0.76606,0.56667,0.68702,0.41139,1.36454,1.0183,1.23618,0.0008516,0.0008516,0.0008516
147,537.674,1.12611,0.70823,1.07641,0.77985,0.63334,0.70967,0.42504,1.34615,0.98572,1.24659,0.00084368,0.00084368,0.00084368
148,541.252,1.09645,0.71865,1.09264,0.84402,0.60909,0.71665,0.42878,1.38394,0.97336,1.25296,0.00083576,0.00083576,0.00083576
149,544.894,0.99472,0.65378,1.01608,0.82554,0.62121,0.71459,0.43441,1.34277,0.9462,1.24448,0.00082784,0.00082784,0.00082784
150,548.478,0.99257,0.66772,1.03316,0.76572,0.64545,0.72717,0.43324,1.34815,0.97166,1.22532,0.00081992,0.00081992,0.00081992
151,552.07,0.97527,0.64089,1.02269,0.75117,0.6697,0.7235,0.43328,1.34375,0.96824,1.25059,0.000812,0.000812,0.000812
152,555.693,0.99357,0.67957,1.03051,0.77851,0.65758,0.72503,0.43358,1.3889,0.95275,1.26497,0.00080408,0.00080408,0.00080408
153,559.271,1.09057,0.73342,1.09934,0.81638,0.64671,0.74499,0.45369,1.31722,0.91651,1.20186,0.00079616,0.00079616,0.00079616
154,562.868,0.97059,0.67513,0.99443,0.73865,0.66804,0.71614,0.42021,1.39109,0.96188,1.22052,0.00078824,0.00078824,0.00078824
155,566.588,1.00598,0.63903,1.00395,0.81057,0.62241,0.71957,0.42451,1.3917,0.96651,1.24543,0.00078032,0.00078032,0.00078032
156,570.35,1.00838,0.64295,1.01604,0.81463,0.6,0.69421,0.41572,1.38803,0.97796,1.27862,0.0007724,0.0007724,0.0007724
157,573.958,0.96913,0.64288,1.01014,0.77809,0.65455,0.72952,0.43385,1.40346,0.92353,1.2829,0.00076448,0.00076448,0.00076448
